"Kod";"Nazwa";"Wynagrodzenie brutto";
0264000;"Powiat m. Wrocław";7391,95;
0663000;"Powiat m. Lublin";6402,56;
0862000;"Powiat m. Zielona Góra";6462,80;
1061000;"Powiat m. Łódź";6629,23;
1261000;"Powiat m. Kraków";8157,43;
1465000;"Powiat m. st. Warszawa";8540,11;
1661000;"Powiat m. Opole";6560,39;
1863000;"Powiat m. Rzeszów";6508,96;
2061000;"Powiat m. Białystok";6183,98;
2261000;"Powiat m. Gdańsk";7876,68;
2262000;"Powiat m. Gdynia";6985,73;
2469000;"Powiat m. Katowice";8017,49;
2661000;"Powiat m. Kielce";6185,40;
2862000;"Powiat m. Olsztyn";6506,02;
3064000;"Powiat m. Poznań";7362,74;
3262000;"Powiat m. Szczecin";6943,84;
